id,name,category,backend,timeHours,completeness,mauEstimate,apis,coreFeatures
app001,快速剪贴板管家,系统工具与效率,none,6,90,高,Clipboard;Share,多条剪贴;固定;跨设备二维码分享
app002,通知聚合清理,系统工具与效率,none,5,90,高,Notifications,通知分类;一键清理;静默时段
app003,智能待办清单,系统工具与效率,kv,8,90,高,Calendar;Haptics,快输模板;日历视图;小组件
app004,习惯打卡,系统工具与效率,kv,7,90,高,Alarm;Files,目标;连胜;提醒;数据导出
app005,专注番茄钟,系统工具与效率,none,5,90,高,Audio;Haptics,专注;休息;白噪;统计
app006,快速二维码工具箱,系统工具与效率,none,6,90,高,Cam;Files,生成;识别;历史
app007,文本批量处理,系统工具与效率,none,4,90,中,Clipboard;Files,大小写;去空格;正则替换
app008,计时器与倒计时合集,系统工具与效率,none,5,90,中,Haptics;Alarm,多计时;圈速;模板
app009,快速单位换算,系统工具与效率,none,4,95,中,,货币;长度;重量;温度
app010,每日目标墙（卡片）,系统工具与效率,kv,6,90,高,Share;Haptics,今日3目标;进度;分享
app011,PDF 合并拆分压缩,文件与格式转换,none,10,85,高,Files,合并;页删;压缩
app012,图片转PDF,文件与格式转换,none,6,90,高,Files,批量;排序;页边距
app013,文档格式互转,文件与格式转换,none,6,90,中,Files,Markdown;HTML;TXT
app014,扫描仪与透视矫正,文件与格式转换,none,10,85,高,Cam;Files,拍照裁边;增强
app015,批量重命名,文件与格式转换,none,5,90,中,Files,规则;预览;撤销
app016,条码/条形码批量生成,文件与格式转换,none,5,90,中,Files;Share,支持多制式
app017,CSV/Excel 转换器,文件与格式转换,none,8,90,中,Files,导入;筛选;导出
app018,JSON/YAML 互转美化,文件与格式转换,none,4,95,中,Files,校验;格式化
app019,图片批量改尺寸/水印,文件与格式转换,none,8,90,高,Files,多规则;预设
app020,OCR 文本提取,文件与格式转换,cf,12,80,高,Cam;Files,离线OCR包;导出
app021,图片拼图九宫格,图片与多媒体,none,6,90,高,Files,模板;边距;比例
app022,证件照生成,图片与多媒体,cf,12,85,高,Files,背景替换;尺寸
app023,表情包制作,图片与多媒体,none,8,90,中,Files,画布;文字贴纸
app024,简易修图,图片与多媒体,none,8,85,中,Files,亮度;对比;滤镜
app025,动图GIF 工具,图片与多媒体,none,10,85,中,Files,视频转GIF;帧编辑
app026,相册去重,图片与多媒体,none,10,85,高,Files,相似度;批量清理
app027,图片隐私清理,图片与多媒体,none,6,90,高,Files;Share,EXIF清除;分享
app028,海报宣传图生成,图片与多媒体,none,8,90,高,Files;Share,模板;二维码;导出
app029,拼长图/截图拼接,图片与多媒体,none,8,90,高,Files,自动拼接;标注
app030,图像尺寸校对器,图片与多媒体,none,5,95,中,Files,尺寸;DPI;批校
app031,语音录音笔,音频与音乐,none,8,90,高,Mic;Files,录音;降噪;标记
app032,录音转文字,音频与音乐,cf,12,80,高,Mic;Files,本地识别;分段
app033,白噪与冥想,音频与音乐,none,5,90,中,Audio,声景混音;定时
app034,铃声裁剪,音频与音乐,none,8,90,中,Files,波形;淡入出
app035,会议纪要助手,音频与音乐,cf,14,80,高,Mic,录音→摘要
app036,外语跟读器,音频与音乐,cf,12,80,中,Audio,段落跟读;评测
app037,播客速记,音频与音乐,none,8,85,中,Audio;Files,片段标星;导出
app038,噪声分贝计,音频与音乐,none,5,90,中,Mic;Sensors,实时分贝;记录
app039,待办语音速记卡片,音频与音乐,kv,7,90,高,Mic;Alarm,快录→待办
app040,音频格式转换,音频与音乐,none,8,90,中,Files,mp3;aac;wav
app041,快速字幕生成,视频与直播工具,cf,14,80,高,Files,语音识别;校对
app042,视频压缩,视频与直播工具,none,10,85,高,Files,码率;分辨率预设
app043,封面缩略图提取,视频与直播工具,none,6,90,中,Files,按时间截帧
app044,视频倒放/倍速,视频与直播工具,none,10,85,中,Files,变速;片段处理
